processid,sampleid,recordID,catalognum,fieldnum,institution_storing,collection_code,bin_uri,phylum_taxID,phylum_name,class_taxID,class_name,order_taxID,order_name,family_taxID,family_name,subfamily_taxID,subfamily_name,genus_taxID,genus_name,species_taxID,species_name,subspecies_taxID,subspecies_name,identification_provided_by,identification_method,identification_reference,tax_note,voucher_status,tissue_type,collection_event_id,collectors,collectiondate_start,collectiondate_end,collectiontime,collection_note,site_code,sampling_protocol,lifestage,sex,reproduction,habitat,associated_specimens,associated_taxa,extrainfo,notes,lat,lon,coord_source,coord_accuracy,elev,depth,elev_accuracy,depth_accuracy,country,province_state,region,sector,exactsite,image_ids,image_urls,media_descriptors,captions,copyright_holders,copyright_years,copyright_licenses,copyright_institutions,photographers
GBMTG4029-16,NC_026442,6962402,,NC_026442,"Mined from GenBank, NCBI",,BOLD:ADC7993,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4932,Dremomys,15992,Dremomys rufigenis,,,,,"Blanford, 1878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAMN8782-23,RMNP.20220921.128522.E,19417853,,RMNP.20220921.128522.E,Arizona State University,,BOLD:AAH9567,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4909,Tamias,89961,Tamias minimus,,,NEON Technician,morphology,"Bachman, 1839",,Vouchered:Registered Collection,ear punch,,"National Ecological Observatory Network, United States",,,2022-09-21T18:00:00.000Z,,RMNP,ShermanXLK,adult,F,S,evergreenForest,,,,,40.204,-105.48,WGS84,45.1,2689.6,,0.1,,United States,Colorado,Central Plains Domain,Boulder,Rocky Mountains NEON,,,,,,,,,
MAMN9070-23,WOOD.20220623.R6718.E,19418173,,WOOD.20220623.R6718.E,Arizona State University,,BOLD:AEC8912,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,741559,Poliocitellus,741560,Poliocitellus franklinii,,,NEON Technician,morphology,,,Vouchered:Registered Collection,ear punch,,"National Ecological Observatory Network, United States",,,2022-06-23T17:00:00.000Z,,WOOD,ShermanXLK,adult,M,S,grasslandHerbaceous,,,,,47.136,-99.25,WGS84,45.1,589.6,,0.15,,United States,North Dakota,Northern Plains Domain,Stutsman,Chase Lake National Wildlife Refuge NEON,,,,,,,,,
MAMN9086-23,WOOD.20220830.R7194.E,19418189,,WOOD.20220830.R7194.E,Arizona State University,,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,717136,Ictidomys,717137,Ictidomys tridecemlineatus,,,NEON Technician,morphology,,,Vouchered:Registered Collection,ear punch,,"National Ecological Observatory Network, United States",,,2022-08-30T17:00:00.000Z,,WOOD,ShermanXLK,adult,M,S,grasslandHerbaceous,,,,,47.135,-99.232,WGS84,45.16,570.79,,0.26,,United States,North Dakota,Northern Plains Domain,Stutsman,Chase Lake National Wildlife Refuge NEON,,,,,,,,,
MEP165-08,ZMMU AALS-516,967310,,YAR-12008,Zoological Museum of Moscow University,,BOLD:AAA6821,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4909,Tamias,12271,Tamias sibiricus,,,Andrey A. Lissovsky,,"Laxmann, 1769",,,,,Yaroslav Red`kin,,,,,,,,,,,,,Sakhalin,,52.53,143.06,,,,,,,Russia,Sakhalinskaya Oblast,Noglikskiy District,Chayvo Bay,,,,,,,,,,
MLMAM125-12,CREG ECOMOL EMi37,2902684,,CREG ECOMOL EMi37,Universidad Nacional de Lujan,,BOLD:ACJ4773,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4703,Callosciurus,,,,,Marta S. Lizarralde,,,,,,,Guichon y col.,,,,,,,,,S,,,,,,,,,,,,,,Argentina,Buenos Aires,,Escobar,,,,,,,,,,
MLMAM138-12,CREG ECOMOL CU24,2902697,,CREG ECOMOL CU24,Universidad Nacional de Lujan,,BOLD:ACJ4773,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4703,Callosciurus,,,,,Marta S. Lizarralde,,,,,,,Guichon y col.,,,,,,,,,S,,,,,,,,,,,,,,Argentina,Cordoba,,La Cumbrecita,,,,,,,,,,
NOMAM034-09,NOMAM-034,1108735,ANM 1210,,Agder Museum of Natural History,,BOLD:AAE9374,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,7506,Sciurus,26232,Sciurus vulgaris,,,Roar Solheim,,"Linnaeus, 1758",,,,,Roar Solheim,,,,,,,A,,,,,,,,58.7211,9.06907,,,,,,,Norway,Aust-Agder,Risor,,Dorsdal,,,,,,,,,
NOMNW455-09,CIBNOR 2873_duplicate,1235717,2873,3486_STAC,Centro de Investigaciones Biologicas del Noroeste S. C.,,BOLD:AAD8817,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4909,Tamias,228599,Tamias obscurus,,,Ticul Alvarez,,"J. A. Allen, 1890",,Vouchered:Registered Collection,,,Sergio Ticul Alvarez Castaneda,,,,,,,A,F,S,,,,NOM-059 Tamias merriami,NAD27,32.046,-115.912,,,1652,,,,Mexico,,Baja California Norte,ENSENADA,"Ensenada, Laguna Juarez",,,,,,,,,
ZSILG603-22,ZSILG_ZS-366,15228494,ZS-366,ZSILG_ZS-366,Zoological Survey of India,,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,7479,Marmota,494309,Marmota himalayana,,,,,"Hodgson, 1841",,,,,,,,,,,,,,,,,,,,,,,,,,,,India,,,,,,,,,,,,,
ABBM101-05,TG970501-37,42654,MAMM 110609,TG970501-37,Royal Ontario Museum,,BOLD:AAI8535,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,3174,Hylopetes,12281,Hylopetes phayrei,,,,,"Blyth, 1859",,,,,Antonio Guillen Servent,,,,,,,,,,,,,H. phayrei,ethanol 96% Liver,,,,,,,,,Laos,Attapu,,,Ban Paam,,,,,,,,,
ABGPA021-07,PSPU-352M,708210,352M,,Penza State Pedagogical University,,BOLD:AAC0177,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4740,Spermophilus,123892,Spermophilus major,,,Oleg A. Ermakov,,"Pallas, 1778",,,,,Ermakov O.A.,,,,,,,,F,S,,,,,,52.333,57.767,,,,,,,Russia,Bashkortostan Republic,Zilairskiy,Kashkarovo village,,,,,,,,,,
ABMWC025-06,ROM 118707,292287,,KA-TA-005,Centre for Biodiversity Genomics,,BOLD:AAC8731,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4909,Tamias,72054,Tamias amoenus,,,,,"J. A. Allen, 1890",,,,,Katherine Bateman,,,,,,,,F,,,,,,"Mass 51g, Body Length 117mm",50.965,-115.115,,,1435,,,,Canada,Alberta,Kananaskis,,Mount Lorette,,,,,,,,,
ABRMM295-07,ROM 115461,546721,115461,,Royal Ontario Museum,,BOLD:AAC0786,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4909,Tamias,12270,Tamias striatus,,,,,"Linnaeus, 1758",,,,,"Stephens-Bourgeault, Patrice",,,,,,,A,F,S,,,,,,,,,,,,,,Canada,Ontario,,Toronto,,,,,,,,,,
BM299-03,ROM 102178,3403,F35988,,Royal Ontario Museum,,BOLD:AAW8552,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4703,Callosciurus,73559,Callosciurus prevostii,,,,,"Desmarest, 1822",,,,,Mark D. Engstrom,,,,,,,A,M,S,,,,Callosciurus prevosti,,2.4,115.37,,,910,,,,Indonesia,Kalimantan Timur,,"Kayan Mentarang Nature Reserve, 8 km NW of Punak",Long Sungan,,,,,,,,,
ETBM002-11,FN002,1879096,,B-C7,University of Guelph,,BOLD:AAC0786,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4909,Tamias,12270,Tamias striatus,,,,,"Linnaeus, 1758",,,,,,,,,,,,,,,,,,Ixodes scapularis Bloodmeal,Slightly Engorged Nymph,44.731,-63.662,,,,,,,Canada,Nova Scotia,,,Bedford,,,,,,,,,
GBAAW31599-24,PP587787,23999810,,,"Mined from GenBank, NCBI",,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Italy,,,,,,,,,,,,,
GBAAW45093-24,OR637994,24013304,USNM:MAMM:569078,,"Mined from GenBank, NCBI",,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBAAW59396-24,OQ750287,24027607,,,"Mined from GenBank, NCBI",,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.9,82.05,,,,,,,Russia,,,,,,,,,,,,,
GBAAW59400-24,OQ750289,24027611,,,"Mined from GenBank, NCBI",,,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.83,80.15,,,,,,,Russia,,,,,,,,,,,,,
GBCOC11301-23,OP089840,19751433,,,,,BOLD:ACS3402,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC568-23,OR388513,19740700,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC576-23,OR388397,19740708,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC581-23,OR388504,19740713,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC603-23,OR388222,19740735,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC647-23,OR388318,19740779,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC702-23,OR388410,19740834,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC705-23,OR388343,19740837,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC710-23,OR388326,19740842,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC719-23,OR388206,19740851,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC742-23,OR388495,19740874,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC746-23,OR388239,19740878,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC751-23,OR388157,19740883,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC799-23,OR388528,19740931,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC815-23,OR388225,19740947,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC831-23,OR388364,19740963,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC841-23,OR388279,19740973,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC842-23,OR388469,19740974,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC849-23,OR388209,19740981,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC861-23,OR388134,19740993,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC905-23,OR388432,19741037,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC930-23,OR388437,19741062,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBCOC940-23,OR388155,19741072,,,,,BOLD:ACD2157,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unrecoverable,,,,,,,,,,,,,
GBMA14731-17,LN899445,8455905,MIB:ZPL:07398,LN899445,"Mined from GenBank, NCBI",,BOLD:ADK1029,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,73335,Callosciurinae,4703,Callosciurus,12327,Callosciurus erythraeus,,,,,"Pallas, 1779",,,,,,,,,,,,,,,,,,,,38.0733,104.691,Coordinates from country centroid,,,,,,China,,"Sichuan, Yanyuan county",,,,,,,,,,,
GBMA16973-17,KF152967,8458147,JW239,KF152967,"Mined from GenBank, NCBI",,BOLD:AAC0177,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4740,Spermophilus,123897,Spermophilus erythrogenys,,,,,"Brandt, 1841",,,,,,,,,,,,,,,,,,,,47.94,88.28,,,,,,,China,,,,,,,,,,,,,
GBMA22845-19,KP993039,9790515,,,"Mined from GenBank, NCBI",,BOLD:ADC7029,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,64748,Xerinae,4909,Tamias,12271,Tamias sibiricus,,,,,"Laxmann, 1769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBMA22879-19,KP993037,9790549,,,"Mined from GenBank, NCBI",,BOLD:AAE9374,18,Chordata,62,Mammalia,313,Rodentia,1024,Sciuridae,4766,Sciurinae,7506,Sciurus,26232,Sciurus vulgaris,,,,,"Linnaeus, 1758",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
